ID;Name;Parent
C02CA04;Doxazosin;C02CA
C02DB01;Dihydralazine;C02DB
C02DB02;Hydralazine;C02DB
C02DD01;Nitroprusside;C02DD
C02DG01;Pinacidil;C02DG
C02KX01;Bosentan;C02KX
C02KX02;Ambrisentan;C02KX
C02KX03;Sitaxentan;C02KX
C03AA01;Bendroflumethiazide;C03AA
C03AA02;Hydroflumethiazide;C03AA
C03AA03;Hydrochlorothiazide;C03AA
C03AA04;Chlorothiazide;C03AA
C03AA05;Polythiazide;C03AA
C03AB01;Bendroflumethiazide and potassium;C03AB
C03AB02;Hydroflumethiazide and potassium;C03AB
C03BA03;Clopamide;C03BA
C03BA04;Chlortalidone;C03BA
C03BA05;Mefruside;C03BA
C03BA11;Indapamide;C03BA
C03BB03;Clopamide and potassium;C03BB
C03CA01;Furosemide;C03CA
C03CA02;Bumetanide;C03CA
C03CB02;Bumetanide and potassium;C03CB
C03DA01;Spironolactone;C03DA
C03DA02;Potassium canrenoate;C03DA
C03DA04;Eplerenone;C03DA
C03DB01;Amiloride;C03DB
C03EA01;Hydrochlorothiazide and potassium-sparing agents;C03EA
C03EB01;Furosemide and potassium-sparing agents;C03EB
C03EB02;Bumetanide and potassium-sparing agents;C03EB
C03XA01;Tolvaptan;C03XA
C04AB01;Phentolamine;C04AB
C04AD03;Pentoxifylline;C04AD
C05AA01;Hydrocortisone;C05AA
C05AA05;Betamethasone;C05AA
C05AA08;Fluocortolone;C05AA
C05AD01;Lidocaine;C05AD
C05AD03;Benzocaine;C05AD
C05AE01;Glyceryl trinitrate;C05AE
C05AX02;Bismuth preparations, combinations;C05AX
C05BA01;Organo-heparinoid;C05BA
C05BB02;Polidocanol;C05BB
C05CA02;Monoxerutin;C05CA
C05CA53;Diosmin, combinations;C05CA
C07AA01;Alprenolol;C07AA
C07AA02;Oxprenolol;C07AA
C07AA03;Pindolol;C07AA
C07AA05;Propranolol;C07AA
C07AA06;Timolol;C07AA
C07AA07;Sotalol;C07AA
C07AA16;Tertatolol;C07AA
C07AB02;Metoprolol;C07AB
C07AB03;Atenolol;C07AB
C07AB04;Acebutolol;C07AB
C07AB05;Betaxolol;C07AB
C07AB07;Bisoprolol;C07AB
C07AB09;Esmolol;C07AB
C07AB12;Nebivolol;C07AB
C07AG01;Labetalol;C07AG
C07AG02;Carvedilol;C07AG
C07BA06;Timolol and thiazides;C07BA
C07BB02;Metoprolol and thiazides;C07BB
C07CA03;Pindolol and other diuretics;C07CA
C07CB03;Atenolol and other diuretics;C07CB
C07FB02;Metoprolol and other hypertensives;C07FB
C08CA01;Amlodipine;C08CA
C08CA02;Felodipine;C08CA
C08CA03;Isradipine;C08CA
C08CA04;Nicardipine;C08CA
C08CA05;Nifedipine;C08CA
C08CA06;Nimodipine;C08CA
C08CA08;Nitrendipine;C08CA
C08CA09;Lacidipine;C08CA
C08CA10;Nilvadipine;C08CA
C08CA13;Lercanidipine;C08CA
C08CX01;Mibefradil;C08CX
C08DA01;Verapamil;C08DA
C08DA51;Verapamil, combinations;C08DA
C08DB01;Diltiazem;C08DB
C09AA01;Captopril;C09AA
C09AA02;Enalapril;C09AA
C09AA03;Lisinopril;C09AA
C09AA04;Perindopril;C09AA
C09AA05;Ramipril;C09AA
C09AA06;Quinapril;C09AA
C09AA07;Benazepril;C09AA
C09AA09;Fosinopril;C09AA
C09AA10;Trandolapril;C09AA
C09AA13;Moexipril;C09AA
C09BA01;Captopril and diuretics;C09BA
C09BA02;Enalapril and diuretics;C09BA
C09BA03;Lisinopril and diuretics;C09BA
C09BA04;Perindopril and diuretics;C09BA
C09BA05;Ramipril and diuretics;C09BA
C09BA07;Benazepril and diuretics;C09BA
C09BB02;Enalapril and lercanipine;C09BB
C09BB04;Perindopril and amlodipine;C09BB
C09CA01;Losartan;C09CA
C09CA02;Eprosartan;C09CA
C09CA03;Valsartan;C09CA
C09CA04;Irbesartan;C09CA
C09CA06;Candesartan;C09CA
C09CA07;Telmisartan;C09CA
C09CA08;Olmesartan medoxomil;C09CA
C09DA01;Losartan and diuretics;C09DA
C09DA02;Eprosartan and diuretics;C09DA
C09DA03;Valsartan and diuretics;C09DA
C09DA04;Irbesartan and diuretics;C09DA
C09DA06;Candesartan and diuretics;C09DA
C09DA07;Telmisartan and diuretics;C09DA
C09DA08;Olmesartan medoxomil and diuretics;C09DA
C09DB01;Valsartan and amlodipine;C09DB
C09DX01;Valsartan, amlodipine and hydrochlorothiazide;C09DX
C09XA02;Aliskiren;C09XA
C09XA52;Aliskiren and hydrochlorothiazide;C09XA
C10AA01;Simvastatin;C10AA
C10AA02;Lovastatin;C10AA
C10AA03;Pravastatin;C10AA
C10AA04;Fluvastatin;C10AA
C10AA05;Atorvastatin;C10AA
C10AA06;Cerivastatin;C10AA
C10AA07;Rosuvastatin;C10AA
C10AB01;Clofibrate;C10AB
C10AB02;Bezafibrate;C10AB
C10AB04;Gemfibrozil;C10AB
C10AC01;Colestyramine;C10AC
C10AC02;Colestipol;C10AC
C10AC04;Colesevelam;C10AC
C10AD06;Acipimox;C10AD
C10AD52;Nicotinic acid, combinations;C10AD
C10AX09;Ezetimibe;C10AX
C10BA02;Simvastatin and ezetimibe;C10BA
D01AA01;Nystatin;D01AA
D01AC01;Clotrimazole;D01AC
D01AC02;Miconazole;D01AC
D01AC03;Econazole;D01AC
D01AC08;Ketoconazole;D01AC
D01AC10;Bifonazole;D01AC
D01AC20;Combinations;D01AC
D01AC60;Bifonazole combinations;D01AC
D01AE02;Methylrosaniline;D01AE
D01AE14;Ciclopirox;D01AE
D01AE15;Terbinafine;D01AE
D01AE16;Amorolfine;D01AE
D01AE20;Combinations;D01AE
D01BA01;Griseofulvin;D01BA
D01BA02;Terbinafine;D01BA
D02AA**;Uncompleted atc-code;D02AA
D02AB**;Uncompleted atc-code;D02AB
D02AC**;Uncompleted atc-code;D02AC
D02AE01;Carbamide;D02AE
D02AF**;Uncompleted atc-code;D02AF
D02AX**;Uncompleted atc-code;D02AX
D03AA**;Uncompleted atc-code;D03AA
D03AX01;Cadexomer iodine;D03AX
D03AX03;Dexpanthenol;D03AX
D04AA02;Mepyramine;D04AA
D04AB01;Lidocaine;D04AB
D04AB02;Cinchocaine;D04AB
D04AB04;Benzocaine;D04AB
D04AX**;Uncompleted atc-code;D04AX
D05AA**;Uncompleted atc-code;D05AA
D05AC01;Dithranol;D05AC
D05AX**;Uncompleted atc-code;D05AX
D05AX02;Calcipotriol;D05AX
D05AX52;Calcipotriol, combinations;D05AX
D05BA02;Methoxalen, systemic;D05BA
D05BB02;Acitretin;D05BB
D06AA02;Chlortetracycline;D06AA
D06AA03;Oxytetracycline;D06AA
D06AX01;Fusidic acid;D06AX
D06AX04;Neomycin;D06AX
D06AX09;Mupirocin;D06AX
D06AX13;Retapamulin;D06AX
D06BA01;Silver sulfadiazine;D06BA
D06BB01;Idoxuridine;D06BB
D06BB02;Tromantadine;D06BB
D06BB03;Aciclovir;D06BB
D06BB04;Podophyllotoxin;D06BB
D06BB06;Penciclovir;D06BB
D06BB10;Imiquimod;D06BB
D06BB11;Docosanol;D06BB
D06BX01;Metronidazole;D06BX
D07AA02;Hydrocortisone;D07AA
D07AB01;Clobetasone;D07AB
D07AB02;Hydrocortisone butyrate;D07AB
D07AB03;Flumetasone;D07AB
D07AB07;Fluprednidene;D07AB
D07AB09;Triamcinolone;D07AB
D07AB10;Alclometasone;D07AB
D07AB11;Hydrocortisone buteprate;D07AB
D07AC01;Betamethasone;D07AC
D07AC03;Desoximetasone;D07AC
D07AC04;Fluocinolone;D07AC
D07AC05;Fluocortolone;D07AC
D07AC06;Diflucortolone;D07AC
D07AC08;Fluocinonide;D07AC
D07AC09;Budesonide;D07AC
D07AC10;Diflorasone;D07AC
D07AC13;Mometasone;D07AC
D07AC17;Fluticasone;D07AC
D07AD01;Clobetasol;D07AD
D07AD02;Halcinonide;D07AD
D07BB01;Flumetasone and antiseptics;D07BB
D07BB03;Triamcinolone and antiseptics;D07BB
D07BB04;Hydrocortisone butyrate and antiseptics;D07BB
D07BC01;Betamethasone and antiseptics;D07BC
D07BC02;Fluocinolone and antiseptics;D07BC
D07CA01;Hydrocortisone and antibiotics;D07CA
D07CB01;Triamcinolone and antibiotics;D07CB
D07CC01;Betamethasone and antibiotics;D07CC
D07XA01;Hydrocortisone;D07XA
D07XB01;Flumetasone;D07XB
D07XB02;Triamcinolone;D07XB
D07XC01;Betamethasone;D07XC
D07XC02;Desoximetasone;D07XC
D08AB**;Uncompleted atc-code;D08AB
D08AC02;Chlorhexidine;D08AC
D08AD**;Uncompleted atc-code;D08AD
D08AF01;Nitrofural;D08AF
D08AG03;Iodine;D08AG
D08AL01;Silver nitrate;D08AL
D08AX**;Uncompleted atc-code;D08AX
D08AX01;Hydrogen peroxide;D08AX
D09AA01;Framycetin;D09AA
D09AA02;Fusidic acid;D09AA
D09AB01;Zinc bandage without supplements;D09AB
D10AA02;Methylprednisolone;D10AA
D10AD01;Tretinoin;D10AD
D10AD03;Adapalene;D10AD
D10AD04;Isotretinoin;D10AD
D10AD53;Adapalene, combinations;D10AD
D10AE01;Benzoyl peroxide;D10AE
D10AF01;Clindamycin;D10AF
D10AF51;Clindamycin, comb.;D10AF
D10AX03;Azelaic acid;D10AX
D10BA01;Isotretinoin;D10BA
D11AA**;Uncompleted atc-code;D11AA
D11AC03;Selenium compounds;D11AC
D11AC30;Others;D11AC
D11AF**;Uncompleted atc-code;D11AF
D11AH01;Tacrolimus;D11AH
D11AH02;Pimecrolimus;D11AH
D11AH04;Alitretinoin;D11AH
D11AX01;Minoxidil, topical;D11AX
D11AX02;Gamolenic acid;D11AX
D11AX10;Finasteride;D11AX
D11AX16;Eflornithine;D11AX
D11AX18;Diclofenac;D11AX
G01AA10;Clindamycin;G01AA
G01AF01;Metronidazole;G01AF
G01AF02;Clotrimazole;G01AF
G01AF04;Miconazole;G01AF
G01AF05;Econazole;G01AF
G01AG02;Terconazole;G01AG
G01AX03;Metacresolsulphonic acid formaldehyde;G01AX
G01AX11;Povidone-iodine;G01AX
G02AB01;Methylergometrine;G02AB
G02AD02;Dinoprostone;G02AD
G02AD03;Gemeprost;G02AD
G02AD04;Carboprost;G02AD
G02BA03;Plastic iud with progesterone;G02BA
G02BB01;Vaginal ring with progestogen and estrogen;G02BB
G02CA01;Ritodrine;G02CA
G02CB03;Cabergoline;G02CB
G02CB04;Quinagolide;G02CB
G02CX01;Atosiban;G02CX
G03AA01;Etynodiol and estrogen;G03AA
G03AA03;Lynestrenol and estrogen;G03AA
G03AA05;Norethisterone and estrogen;G03AA
G03AA07;Levonorgestrel and estrogen;G03AA
G03AA09;Desogestrel and estrogen;G03AA
G03AA10;Gestodene and estrogen;G03AA
G03AA11;Norgestimate and estrogen;G03AA
G03AA12;Drospirenone and estrogen;G03AA
G03AA13;Norelgestromin and estrogen;G03AA
G03AB**;Uncompleted atc-code;G03AB
G03AB03;Levonorgestrel and estrogen;G03AB
G03AB04;Norethisterone and estrogen;G03AB
G03AB05;Desogestrel and estrogen;G03AB
G03AB06;Gestodene and estrogen;G03AB
G03AC01;Norethisterone;G03AC
G03AC02;Lynestrenol;G03AC
G03AC03;Levonorgestrel;G03AC
G03AC08;Etonogestrel;G03AC
G03AC09;Desogestrel;G03AC
G03AD**;Uncompleted atc-code;G03AD
G03AD01;Levonorgestrel;G03AD
G03AD02;Ulipristal;G03AD
G03BA03;Testosterone;G03BA
G03BB01;Mesterolone;G03BB
G03CA03;Estradiol;G03CA
G03CA04;Estriol;G03CA
G03CA53;Estradiol, combinations;G03CA
G03CA57;Conjugated estrogens;G03CA
G03CB01;Dienestrol;G03CB
G03CX01;Tibolone;G03CX
G03DA02;Medroxyprogesterone;G03DA
G03DA04;Progesterone;G03DA
G03DB01;Dydrogesterone;G03DB
G03DB08;Dienogest;G03DB
G03DC02;Norethisterone;G03DC
G03DC03;Lynestrenol;G03DC
G03FA01;Norethisterone and estrogen;G03FA
G03FA11;Levonorgestrel and estrogen;G03FA
G03FA12;Medroxyprogesterone and estrogen;G03FA
G03FA15;Dienogest and estrogen;G03FA
G03FA17;Drospirenone and estrogen;G03FA
G03FB01;Norgestrel and estrogen;G03FB
G03FB05;Norethisterone and estrogen;G03FB
G03FB06;Medroxyprogesterone and estrogen;G03FB
G03FB09;Levonorgestrel and estrogen;G03FB
G03FB11;Trimegestone and estrogen;G03FB
G03GA01;Chorionic gonadotropine;G03GA
G03GA02;Human menopausal gonadotrophin;G03GA
G03GA04;Urofollitrophin;G03GA
G03GA05;Follitropin alfa;G03GA
G03GA06;Follitropin beta;G03GA
G03GA07;Lutropin alfa;G03GA
G03GA08;Choriogonadotropin alfa;G03GA
G03GA09;Corifollitropin alfa;G03GA
G03GA30;Combinations;G03GA
G03GB02;Clomifene;G03GB
G03HA01;Cyproterone;G03HA
G03HB01;Cyproterone and estrogen;G03HB
G03XA01;Danazol;G03XA
G03XA02;Gestrinone;G03XA
G03XB01;Mifepristone;G03XB
G03XC01;Raloxifene;G03XC
G04BD**;Uncompleted atc-code;G04BD
G04BD01;Emepronium;G04BD
G04BD02;Flavoxate;G04BD
G04BD04;Oxybutynin;G04BD
G04BD07;Tolterodine;G04BD
G04BD08;Solifenacin;G04BD
G04BD09;Trospium;G04BD
G04BD10;Darifenacin;G04BD
G04BD11;Fesoterodine;G04BD
G04BE01;Alprostadil;G04BE
G04BE02;Papaverine;G04BE
G04BE03;Sildenafil;G04BE
G04BE04;Yohimbin;G04BE
G04BE07;Apomorphine;G04BE
G04BE08;Tadalafil;G04BE
G04BE09;Vardenafil;G04BE
G04BE30;Combinations;G04BE
G04CA01;Alfuzosin;G04CA
G04CA02;Tamsulosin;G04CA
G04CA03;Terazosin;G04CA
G04CA52;Tamsulosin and dutasteride;G04CA
G04CB01;Finasteride;G04CB
G04CB02;Dutasteride;G04CB
H01AA02;Tetracosactide;H01AA
H01AB01;Thyrotrophin;H01AB
H01AC01;Somatropin;H01AC
H01AC03;Mecasermin;H01AC
H01AX01;Pegvisomant;H01AX
H01BA02;Desmopressin;H01BA
H01BA04;Terlipressin;H01BA
H01BB02;Oxytocin;H01BB
H01BB03;Carbetocin;H01BB
H01CA02;Nafarelin;H01CA
H01CA03;Histrelin;H01CA
H01CB02;Octreotide;H01CB
H01CB03;Lanreotide;H01CB
H01CC01;Ganirelix;H01CC
H01CC02;Cetrorelix;H01CC
H02AA02;Fludrocortisone;H02AA
H02AB01;Betamethasone;H02AB
H02AB02;Dexamethasone;H02AB
H02AB04;Methylprednisolone;H02AB
H02AB06;Prednisolone;H02AB
H02AB07;Prednisone;H02AB
H02AB08;Triamcinolone;H02AB
H02AB09;Hydrocortisone;H02AB
H03AA01;Levothyroxine sodium;H03AA
H03BA02;Propylthiouracil;H03BA
H03BB01;Carbimazole;H03BB
H03BB02;Thiamazole;H03BB
H03CA**;Uncompleted atc-code;H03CA
H04AA01;Glucagon;H04AA
H05AA02;Teriparatide;H05AA
H05AA03;Parathyroid hormone;H05AA
H05BA01;Calcitonin (salmon synthetic);H05BA
