drugname;name_detail
161;Selinexor
162;"N-(3-Cyano-4,5,6,7-Tetrahydro-1-Benzothien-2-Yl)-2-Fluorobenzamide"
163;Alfacalcidol
164;Tetomilast
165;Diroximel Fumarate
166;Famciclovir
167;Etheno-Nad
168;Methoxyflurane
169;Theobromine
170;"4-(Aminosulfonyl)-N-[(3,4,5-Trifluorophenyl)Methyl]-Benzamide"
171;(1R)-Menthyl Hexyl Phosphonate Group
172;"N-{(3R,4S)-4-[(6-Amino-4-Methylpyridin-2-Yl)Methyl]Pyrrolidin-3-Yl}-N'-(3-Chlorobenzyl)Ethane-1,2-Diamine"
173;Canavanine
174;Thonzonium
175;3-Pyridin-4-Yl-1H-Indazole
176;Phenytoin
177;Temafloxacin
178;3-(10-Methyl-9-Anthryl)Propanoic Acid
179;"N-[2-(Carbamimidamidooxy)Ethyl]-2-{6-Cyano-3-[(2,2-Difluoro-2-Pyridin-2-Ylethyl)Amino]-2-Fluorophenyl}Acetamide"
180;Clomethiazole
181;2-(3-Guanidinophenyl)-3-Mercaptopropanoic Acid
182;2-[4-(3-Methyl-1H-Pyrazol-4-Yl)Phenyl]Ethanamine
183;Indane-5-Sulfonamide
184;Arbutin
185;4-(Benzhydryloxy)-1-[3-(1H-Tetraazol-5-Yl)Propyl]Piperidine
186;"Guanosine-2',3'-O-Methylidenephosphonate"
187;Lumateperone
188;"(3R)-3-[(1,2,3,4-Tetrahydroisoquinolin-7-Yloxy)Methyl]-2,3-Dihydrothieno[2,3-F][1,4]Oxazepin-5-Amine"
189;Desipramine
190;"Dibenzyl (Carbonylbis{2,1-Hydrazinediyl[(2S)-4-Methyl-1-Oxo-1,2-Pentanediyl]})Biscarbamate"
191;"3-Methyl-N-(Pyridin-4-Ylmethyl)Imidazo[1,2-A]Pyrazin-8-Amine"
192;Methotrexate
193;Cysteine-S-Acetamide
194;Asenapine
195;2-Amino-3-Hydroxy-3-Phosphonooxy-Propionic Acid
196;"S-[(1-Hydroxy-2,2,5,5-Tetramethyl-2,5-Dihydro-1H-Pyrrol-3-Yl)Methyl] Methanesulfonothioate"
197;Tofacitinib
198;"1-Methyl-3-Naphthalen-2-Yl-1H-Pyrazolo[3,4-D]Pyrimidin-4-Amine"
199;"3-(1H-Indol-3-Yl)-4-{1-[2-(1-Methylpyrrolidin-2-Yl)Ethyl]-1H-Indol-3-Yl}-1H-Pyrrole-2,5-Dione"
200;"Trencam-3,2-Hopo"
201;"8,9,10-Trihydroxy-7-Hydroxymethyl-3-Methyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione"
202;Estriol Tripropionate
203;Oxytocin
204;"(5R)-2-Sulfanyl-5-[4-(Trifluoromethyl)Benzyl]-1,3-Thiazol-4(5H)-One"
205;P-Coumaric Acid
206;Betazole
207;Mequitazine
208;"3,4-Dihydroxycinnamic Acid"
209;Enasidenib
210;Nonacog Beta Pegol
211;Mf268
212;Faricimab
213;1-(Adamantan-1-Yl)-2-(1H-Imidazol-1-Yl)Ethanone
214;Cariporide
215;Phenylalanylaminodi(Ethyloxy)Ethyl Benzenesulfonamideaminocarbonylbenzenesulfonamide
216;Dithioerythritol
217;"Zinc;[Amino-[2-[[5-[Amino(Azaniumylidene)Methyl]Benzimidazol-1-Id-2-Yl]Methyl]Benzimidazol-1-Id-5-Yl]Methylidene]Azanium"
218;Levobupivacaine
219;5-[3-(Benzylamino)Phenyl]-4-Bromo-3-(Carboxymethoxy)Thiophene-2-Carboxylic Acid
220;(2R)-2-(5-Chloro-2-Thienyl)-N-{(3S)-1-[(1S)-1-Methyl-2-Morpholin-4-Yl-2-Oxoethyl]-2-Oxopyrrolidin-3-Yl}Propene-1-Sulfonamide
221;"5-Chloro-Thiophene-2-Carboxylic Acid ((3S,4S)-1-{[2-Fluoro-4-(2-Oxo-2H-Pyridin-1-Yl)-Phenylcarbamoyl]-Methyl}-4-Hydroxy-Pyrrolidin-3-Yl)-Amide"
222;4-(Dimethylamino)-N-[7-(Hydroxyamino)-7-Oxoheptyl]Benzamide
223;"3-[(1E,7E)-8-(2,6-Dioxo-1,2,3,6-Tetrahydropyrimidin-4-Yl)-3,6-Dioxa-2,7-Diazaocta-1,7-Dien-1-Yl]Benzoic Acid"
224;Fidarestat
225;"2',3'-Dideoxythymidine-5'-Monophosphate"
226;"2-[(Phenylsulfonyl)Amino]-5,6,7,8-Tetrahydronaphthalene-1-Carboxylic Acid"
227;4-(2-Methoxyethoxy)-6-Methylpyrimidin-2-Amine
228;"S-(2,4-Dinitrophenyl)Glutathione"
229;Nilotinib
230;Dicloxacillin
231;Alclometasone
232;Etynodiol
233;Stannsoporfin
234;"2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2H)-Pyridinyl]Propyl}-8-Methyl-4(3H)-Quinazolinone"
235;6-Phospho-D-Gluconic Acid
236;"5-Amino-2,4,6-Tribromobenzene-1,3-Dicarboxylic Acid"
237;(2E)-N-Hydroxy-3-[1-Methyl-4-(Phenylacetyl)-1H-Pyrrol-2-Yl]Prop-2-Enamide
238;Piflufolastat F 18
239;Bufuralol
240;5'-O-(L-Cysteinylsulfamoyl)Adenosine
241;"2,2,2-Trifluoro-1-{5-[(3-Phenyl-5,6-Dihydroimidazo[1,2-A]Pyrazin-7(8H)-Yl)Carbonyl]Thiophen-2-Yl}Ethane-1,1-Diol"
242;Ramosetron
243;Ferric Pyrophosphate
244;"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol"
245;"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid"
246;"2-(3,5-Dimethylphenyl)-1,3-Benzoxazole"
247;5-Hydroxynaphthalene-1-Sulfonamide
248;Carbamoylcholine
249;Ascorbic Acid
250;1-(Hydroxymethyleneamino)-8-Hydroxy-Octane
251;Benzamidine
252;Hadacidin
253;Al5300
254;Mianserin
255;"2-Amino-4-Fluoro-5-[(1-Methyl-1H-Imidazol-2-Yl)Sulfanyl]-N-(1,3-Thiazol-2-Yl)Benzamide"
256;Ppl-100
257;8-Anilinonaphthalene-1-Sulfonic Acid
258;5-Nitroindazole
259;Tyrosine
260;O-Acetyl-L-Serine
261;Aldesleukin
262;2-(1H-Pyrazol-3-Yl)-1H-Benzimidazole
263;Corticotropin
264;Progabide
265;Edrophonium
266;N-[2-Chloro-5-(Trifluoromethyl)Phenyl]Imidodicarbonimidic Diamide
267;Phenolphthalein
268;Relebactam
269;Sorbinil
270;"(3R,4S)-1-[6-(6-Methoxypyridin-3-Yl)Pyrimidin-4-Yl]-4-(2,4,5-Trifluorophenyl)Pyrrolidin-3-Amine"
271;Quinacrine
272;"5-(5-Chloro-2,4-Dihydroxyphenyl)-N-Ethyl-4-[4-(Morpholin-4-Ylmethyl)Phenyl]Isoxazole-3-Carboxamide"
273;Amperozide
274;Hydrocortisone Butyrate
275;"Cp-166572, 2-Hydroxymethyl-4-(4-N,N-Dimethylaminosulfonyl-1-Piperazino)-Pyrimidine"
276;"N-(4-Chlorobenzyl)-N-Methylbenzene-1,4-Disulfonamide"
277;Isis 113715
278;"1-(1'-{[3-(Methylsulfanyl)-2-Benzothiophen-1-Yl]Carbonyl}Spiro[1-Benzofuran-3,4'-Piperidin]-5-Yl)Methanamine"
279;Diazepam
280;"(1S)-1-{[(4'-Methoxy-1,1'-Biphenyl-4-Yl)Sulfonyl]Amino}-2-Methylpropylphosphonic Acid"
281;Muraglitazar
282;2-Aminoisobutyric Acid
283;5-Androstenedione
284;3-[(9H-Fluoren-9-Ylideneamino)Oxy]Propanoic Acid
285;Alvimopan
286;Omega-3-Acid Ethyl Esters
287;Nafcillin
288;Potassium Sulfate
289;Gaboxadol
290;Olsalazine
291;Conjugated Estrogens
292;Hydromorphone
293;Matuzumab
294;Osilodrostat
295;Plecanatide
296;"(2R,3R)-7-(Methylsulfonyl)-3-(2,4,5-Trifluorophenyl)-1,2,3,4-Tetrahydropyrido[1,2-A]Benzimidazol-2-Amine"
297;Gabaculine
298;Cirazoline
299;"Diamino-N-[3-(1,3,2-Dioxaborolan-2-Yloxy)Propyl]Methaniminium"
300;Cloxacillin
301;Lauryl Alcohol Diphosphonic Acid
302;"2-{[(1R,2S)-2-Aminocyclohexyl]Amino}-4-[(3-Methylphenyl)Amino]Pyrimidine-5-Carboxamide"
303;"2'-Deoxy-2'-[(3,5-Dimethoxybenzoyl)Amino]-N-[(1R)-1,2,3,4-Tetrahydro-1-Naphthalenyl]Adenosine"
304;"(1R,2S)-2-Phenylcyclopropanaminium"
305;Oleic Acid
306;Palifermin
307;Sulfamethazine
308;Ly249543
309;6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide
310;Plozalizumab
311;"3-(1H-Indol-3-Yl)-4-(1-{2-[(2S)-1-Methylpyrrolidinyl]Ethyl}-1H-Indol-3-Yl)-1H-Pyrrole-2,5-Dione"
312;N-(Para-Glutaramidophenyl-Ethyl)-Piperidinium-N-Oxide
313;1-{2-Oxo-3-[(1R)-1-(1H-Pyrrol-2-Yl)Ethyl]-2H-Indol-5-Yl}Urea
314;Octanoyl-Coenzyme A
315;N-(3-Aminopropyl)-2-Nitrobenzenamine
316;O-Benzylsulfonyl-Serine
317;Pegpleranib
318;Acrivastine
319;"(3R)-4-[(3R)-3-Amino-4-(2,4,5-Trifluorophenyl)Butanoyl]-3-Methyl-1,4-Diazepan-2-One"
320;Monothioglycerol
321;Amprenavir
322;Clobetasol Propionate
323;Alks 27
324;"N'-(5-Chloro-1,3-Benzodioxol-4-Yl)-N-(3,4,5- Trimethoxyphenyl)Pyrimidine-2,4-Diamine"
325;4-[(2-{4-[(Cyclopropylcarbamoyl)Amino]-1H-Pyrazol-3-Yl}-1H-Benzimidazol-6-Yl)Methyl]Morpholin-4-Ium
326;"6-Aminohexyl-Uridine-C1,5'-Diphosphate"
327;2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate
328;Ethotoin
329;"(3As,4R,9Br)-2,2-Difluoro-4-(4-Hydroxyphenyl)-6-(Methoxymethyl)-1,2,3,3A,4,9B-Hexahydrocyclopenta[C]Chromen-8-Ol"
330;"5-[3-(2-Methoxyphenyl)-1H-Pyrrolo[2,3-B]Pyridin-5-Yl]-N,N-Dimethylpyridine-3-Carboxamide"
331;4-Sulfonamide-[1-(4-Aminobutane)]Benzamide
332;Phosphoaminophosphonic Acid-Adenylate Ester
333;Glutaric Acid
334;Artemisinin
338;"N-[3-[[4-[(5-Chloro-1,3-Benzodioxol-4-Yl)Amino]Pyrimidin-2-Yl]Amino]Phenyl]Methanesulfonamide"
339;Loteprednol Etabonate
340;Xamoterol
341;"2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole"
342;1-Hydroxy-2-Isopropylguanidine
343;Methscopolamine Bromide
344;Arbaclofen
345;Nadph
346;Nocodazole
347;Terguride
348;Ethanol
349;Valproic Acid
350;Adenosine 5'-[Gamma-Thio]Triphosphate
351;1-Benzyl-3-(4-Methoxy-Benzenesulfonyl)-6-Oxo-Hexahydro-Pyrimidine-4-Carboxylic Acid Hydroxyamide
352;Curcumin Sulfate
353;Demeclocycline
354;Ondansetron
355;Tenofovir Alafenamide
356;Diltiazem
357;2-(2-Hydroxy-Phenyl)-1H-Indole-5-Carboxamidine
358;Fica
359;4-Oxosebacic Acid
360;Lysine
361;D-Lactic Acid
362;Imexon
363;Tisotumab Vedotin
364;R-348
365;Streptomycin
366;"(3R)-3-(Fluoromethyl)-7-(Thiomorpholin-4-Ylsulfonyl)-1,2,3,4-Tetrahydroisoquinoline"
367;"6-Hydroxy-1,3-Benzothiazole-2-Sulfonamide"
368;Glecaprevir
369;Debrisoquine
370;Pyridoxine
371;Practolol
372;3-Fluoro-5-Morpholin-4-Yl-N-[3-(2-Pyridin-4-Ylethyl)-1H-Indol-5-Yl]Benzamide
373;Zuclopenthixol
374;Interferon Beta-1B
375;"N-[(2',4'-Difluoro-4-Hydroxy-5-Iodobiphenyl-3-Yl)Carbonyl]-Beta-Alanine"
376;Methacholine
377;Abemaciclib
378;Bis(5-Amidino-2-Benzimidazolyl)Methanone
379;"5-Hydroxymethyl-5,6-Dihydrofolic Acid"
380;Ziconotide
381;Chromic Citrate
382;Oxalic Acid
383;Stavudine Triphosphate
384;Ixabepilone
385;Das869
386;Letermovir
387;Oxandrolone
388;Duroquinone
389;"Cyclohexyl-{4-[5-(3,4-Dichlorophenyl)-2-Piperidin-4-Yl-3-Propyl-3H-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine"
390;Ethyl Isocyanide
391;Glycinamide Ribonucleotide
392;N-(4-Sulfamoylphenyl)-1H-Indazole-3-Carboxamide
393;Oxytetracycline
394;Hydroxyprogesterone
395;Benzocaine
396;5-(Dimethylamino)-2-Naphthalenesulfonic Acid
397;Carfilzomib
398;Buspirone
399;Necitumumab
400;Dasotraline
401;"5-(Dodecylthio)-1H-1,2,3-Triazole-4-Carboxylic Acid"
402;5'-O-(N-Ethyl-Sulfamoyl)Adenosine
403;Tetrahydropalmatine
404;"1-N-(4-Sulfamoylphenyl-Ethyl)-2,4,6-Trimethylpyridinium"
405;(S)-Camphor
406;(S)-Blebbistatin
407;Roxithromycin
408;Secretin Human
409;Solriamfetol
410;Catumaxomab
411;Butamben
412;"N-Phenyl-1H-Pyrrolo[2,3-B]Pyridin-3-Amine"
413;Edetate Disodium Anhydrous
414;Desvenlafaxine
415;1-Methyl-3-Phenyl-1H-Pyrazol-5-Ylsulfamic Acid
416;Avasimibe
417;Triphosphoric Acid
418;Lumasiran
419;Aminohippuric Acid
420;Dpi59
421;Niclosamide
422;N-[(2-Amino-6-Methylpyrimidin-4-Yl)Methyl]-3-{[(E)-(2-Oxodihydrofuran-3(2H)-Ylidene)Methyl]Amino}Benzenesulfonamide
423;Pf-00356231
424;Beta Carotene
425;Selpercatinib
426;Cycloserine
427;Pentostatin
428;2-(3-Methylphenyl)-1H-Indole-5-Carboximidamide
429;Vinpocetine
430;Pentoxifylline
431;12-Bromododecanoic Acid
432;N-Acetyl-Glucosamine Thiazoline
433;Tamsulosin
434;3-[5-(1H-Imidazol-1-Yl)-7-Methyl-1H-Benzimidazol-2-Yl]-4-[(Pyridin-2-Ylmethyl)Amino]Pyridin-2(1H)-One
435;Velusetrag
436;Vestipitant
437;"4-[(3-Chloro-4-{[(2R)-3,3,3-Trifluoro-2-Hydroxy-2-Methylpropanoyl]Amino}Phenyl)Sulfonyl]-N,N-Dimethylbenzamide"
438;Liotrix
439;"1-Ethyl-N-(Phenylmethyl)-4-(Tetrahydro-2H-Pyran-4-Ylamino)-1H-Pyrazolo[3,4-B]Pyridine-5-Carboxamide"
440;2'-Cytidylic Acid
441;Anti-Ox40 Antibody Bms 986178
442;"(3,3-Dimethylpiperidin-1-Yl)(6-(3-Fluoro-4-Methylphenyl)Pyridin-2-Yl)Methanone"
443;Magnesium Acetate
444;N-[2-(1H-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide
445;Ferrous Gluconate
446;"6-(4-{(1S,2S)-2-Amino-1-[(Dimethylamino)Carbonyl]-3-[(3S)-3-Fluoropyrrolidin-1-Yl]-3-Oxopropyl}Phenyl)-1H-[1,2,4]Triazolo[1,5-A]Pyridin-4-Ium"
447;P-Toluenesulfonic Acid
448;Sodium Ferric Gluconate Complex
449;Rifapentine
450;Amineptine
451;Pentaglyme
452;4-[[(2S)-2-[[(2S)-3-Carboxy-2-Hydroxypropanoyl]Amino]-4-Methylpentanoyl]Amino]Butyl-(Diaminomethylidene)Azanium
453;Disulfiram
454;Riluzole
455;L-Tyrosinamide
456;Umifenovir
457;D-Phenylalanine
458;"(6Ar,11As,11Br)-10-Acetyl-9-Hydroxy-7,7-Dimethyl-2,6,6A,7,11A,11B-Hexahydro-11H-Pyrrolo[1',2'"
459;Deserpidine
460;Elexacaftor
461;Clinafloxacin
462;N-[1-(4-Carbamimidoyl-Benzylcarbamoyl)-3-Methylsulfanyl-Propyl]-3-Hydroxy-2-Propoxyamino-Butyramid
463;"(3S,5R,7R,8S,9S,10R)-7-(Hydroxymethyl)-3-(2-Naphthyl)-1,6-Dioxa-2-Azaspiro[4.5]Decane-8,9,10-Triol"
464;Teriparatide
465;Xanthinol
466;Methotrimeprazine
467;Enzacamene
468;2'-Deoxyuridine 3'-Monophosphate
469;1-Naphthaleneacetic Acid
470;Atracurium Besylate
471;Carbamazepine
472;Thrombomodulin Alfa
473;8-Chlorotheophylline
474;Ppi-2458
475;Pamidronic Acid
476;Edoxudine
477;"N-(Tert-Butyl)-3,5-Dimethyl-N'-[(5-Methyl-2,3-Dihydro-1,4-Benzodioxin-6-Yl)Carbonyl]Benzohydrazide"
478;3-Fluoro-5-Morpholin-4-Yl-N-[1-(2-Pyridin-4-Ylethyl)-1H-Indol-6-Yl]Benzamide
479;Sb-559448
480;"3,5-Difluorobenzenesulfonamide"
481;Tropicamide
482;"N'-[4-(2,4-Dimethyl-1,3-Thiazol-5-Yl)-2-Pyrimidinyl]-N-Hydroxyimidoformamide"
483;Metoprolol
484;(S)-Ampa
485;Tixocortol
486;Carboxyatractyloside
487;Venetoclax
488;Reserpine
489;4-(5-Benzenesulfonylamino-1-Methyl-1H-Benzoimidazol-2-Ylmethyl)-Benzamidine
490;[1-(6-{6-[(1-Methylethyl)Amino]-1H-Indazol-1-Yl}Pyrazin-2-Yl)-1H-Pyrrol-3-Yl]Acetic Acid
491;Glyburide
492;Trolamine Salicylate
493;Nitrazepam
494;N-Methylleucine
495;[4-(3-Aminomethyl-Phenyl)-Piperidin-1-Yl]-(5-Phenethyl- Pyridin-3-Yl)-Methanone
496;Relugolix
497;"2-{2-Hydroxy-[1,1'-Biphenyl]-3-Yl}-1H-1,3-Benzodiazole-5-Carboximidamide"
498;Rocuronium
499;Mercaptoethanol
500;"(3S,5R,7R,8S,9S,10R)-7-(Hydroxymethyl)-3-(4-Methylphenyl)-1,6-Dioxa-2-Azaspiro[4.5]Decane-8,9,10-Triol"
501;Cardarine
502;Oleandomycin
503;Dabrafenib
504;Pentagastrin
505;Choline Alfoscerate
506;Z-Pro-Prolinal
507;Barbital
508;"(1S,3R,6S)-4-Oxo-6-{4-[(2-Phenylquinolin-4-Yl)Methoxy]Phenyl}-5-Azaspiro[2.4]Heptane-1-Carboxylic Acid"
509;"N-(2-Aminoethyl)-N~2~-{(1S)-1-[4'-(Aminosulfonyl)Biphenyl-4-Yl]-2,2,2-Trifluoroethyl}-L-Leucinamide"
510;"N-Methyl-{4-[2-(7-Oxo-6,7-Dihydro-8H-[1,3]Thiazolo[5,4-E]Indol-8-Ylidene)Hydrazino]Phenyl}Methanesulfonamide"
511;Pazufloxacin
512;Insulin Lispro
513;"(5E)-2-Amino-5-(2-Pyridinylmethylene)-1,3-Thiazol-4(5H)-One"
514;(Hydroxyethyloxy)Tri(Ethyloxy)Octane
515;Burosumab
516;Imidacloprid
517;"N-{2-[(4'-Cyano-1,1'-Biphenyl-4-Yl)Oxy]Ethyl}-N'-Hydroxy-N-Methylurea"
518;6-Carboxymethyluracil
519;Sb-269970
520;Glutathione
521;Dexamethasone
522;"2,4-Difluorobenzyl Alcohol 2,4-Difluoro-1-(Hydroxymethyl)Benzene"
523;Promethazine
524;2-Amino-6-Chloropyrazine
525;6-Morpholin-4-Yl-9H-Purine
526;Custirsen
527;Tropisetron
528;Amitriptyline
529;"4-[(4-O-Sulfamoylbenzyl)(4-Cyanophenyl)Amino]-4H-[1,2,4]-Triazole"
530;"N-[(2R)-5-(Aminosulfonyl)-2,3-Dihydro-1H-Inden-2-Yl]-2-Propylpentanamide"
531;Indirubin-5-Sulphonate
532;Salicylic Acid
533;"(1R,2R)-N-(2-Aminoethyl)-2-{[(4-Methoxyphenyl)Sulfonyl]Methyl}Cyclohexanecarboxamide"
534;Di-Stearoyl-3-Sn-Phosphatidylcholine
535;2-Phospho-D-Glyceric Acid
536;"3-(2-Chlorophenyl)-1-(2-{[(1S)-2-Hydroxy-1,2-Dimethylpropyl]Amino}Pyrimidin-4-Yl)-1-(4-Methoxyphenyl)Urea"
537;Dexmedetomidine
538;Cediranib
