drugcategory;category_detail
10;"['Acids, Acyclic', 'Anti-Hiv Agents', 'Anti-Infective Agents', 'Antiinfectives For Systemic Use', 'Antivirals Used In Combination For The Treatment Of Hiv Infections', 'Bcrp/Abcg2 Inhibitors', 'Carbamates', 'Chemically-Induced Disorders', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Weak)', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Inhibitors', 'Cytochrome P-450 Cyp3A5 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A7 Inhibitors', 'Cytochrome P-450 Cyp3A7 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Enzyme Inhibitors', 'Oatp1B1/Slco1B1 Inhibitors', 'Oatp1B3 Inhibitors', 'Organic Anion Transporting Polypeptide 1B1 Inhibitors', 'Organic Anion Transporting Polypeptide 1B3 Inhibitors', 'Other Miscellaneous Therapeutic Agents', 'P-Glycoprotein Inhibitors', 'Sulfur Compounds', 'Thiazoles']"
11;"['Agents Causing Angioedema', 'Amino Acids, Peptides, And Proteins', 'Analgesics', 'Analgesics, Non-Narcotic', 'Anti-Inflammatory Agents', 'Antirheumatic Agents', 'Autacoids', 'Biological Factors', 'Blood And Blood Forming Organs', 'Bradykinin B2 Receptor Antagonists', 'Bradykinin Receptor Antagonists', 'Central Nervous System Agents', 'Complement Inactivating Agents', 'Drugs That Are Mainly Renally Excreted', 'Drugs Used In Hereditary Angioedema', 'Immunologic Factors', 'Inflammation Mediators', 'Intercellular Signaling Peptides And Proteins', 'Kinins', 'Nerve Tissue Proteins', 'Neuropeptides', 'Oligopeptides', 'Peptides', 'Peripheral Nervous System Agents', 'Proteins', 'Sensory System Agents']"
12;"['Acids, Carbocyclic', 'Agents Causing Hyperkalemia', 'Agents That Produce Hypertension', 'Anti-Inflammatory Agents', 'Anti-Inflammatory Agents, Non-Steroidal', 'Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)', 'Antiinflammatory And Antirheumatic Products', 'Antiinflammatory And Antirheumatic Products, Non-Steroids', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C8 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Substrates', 'Musculo-Skeletal System', 'Nephrotoxic Agents', 'Non Cox-2 Selective Nsaids', 'Phenylpropionates', 'Propionates', 'Ugt1A1 Substrates', 'Ugt1A3 Substrates', 'Ugt1A9 Substrates', 'Ugt2B7 Substrates']"
13;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antibodies, Monoclonal', 'Antineoplastic Agents', 'Bcrp/Abcg2 Substrates', 'Blood Proteins', 'Cancer Immunotherapy', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunotherapy', 'Mate 2 Substrates', 'Mate Substrates', 'Noxae', 'Oatp1B3 Substrates', 'P-Glycoprotein Substrates', 'Proteins', 'Serum Globulins', 'Toxic Actions']"
14;"['Amino Acids', 'Amino Acids, Branched-Chain', 'Amino Acids, Essential', 'Amino Acids, Peptides, And Proteins', 'Dietary Supplements', 'Proteinogenic Amino Acids', 'Supplements']"
15;"['Alimentary Tract And Metabolism', 'Amino Acids, Peptides, And Proteins', 'Blood Glucose Lowering Agents', 'Drugs Used In Diabetes', 'Gastrointestinal Hormones', 'Glp-1 Agonists', 'Glucagon-Like Peptide-1 (Glp-1) Analogues', 'Glucagon-Like Peptides', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Incretins', 'Pancreatic Hormones', 'Peptide Hormones', 'Peptides', 'Proglucagon', 'Protein Precursors', 'Proteins', 'Recombinant Proteins']"
16;"['Agents That Produce Hypertension', 'Alkaloids', 'Anti-Parkinson Drugs', 'Cardiovascular Agents', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates (Strength Unknown)', 'Cytochrome P-450 Substrates', 'Dopamine Agents', 'Dopamine Agonists', 'Ergot Alkaloids And Derivatives', 'Ergot-Derivative Dopamine Receptor Agonists', 'Ergotamines', 'Heterocyclic Compounds, Fused-Ring', 'Nervous System', 'Neurotransmitter Agents', 'Vasodilating Agents']"
17;"['Heterocyclic Compounds, Fused-Ring', 'Pyrazoles']"
18;"['Anticholinergic Agents', 'Anticonvulsants', 'Barbiturates', 'Barbiturates And Derivatives', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp2B6 Substrates', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strength Unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Cytochrome P-450 Substrates', 'Gaba Agents', 'Gaba Modulators', 'Hypnotics And Sedatives', 'Nervous System', 'Neurotransmitter Agents', 'Nicotinic Antagonists', 'Phenobarbital And Similars', 'Psycholeptics', 'Pyrimidines', 'Pyrimidinones']"
19;"['Amino Acids, Peptides, And Proteins', 'Antineoplastic And Immunomodulating Agents', 'Antineovascularisation Agents', 'Eent Drugs, Miscellaneous', 'Enzymes', 'Enzymes And Coenzymes', 'Membrane Proteins', 'Ocular Vascular Disorder Agents', 'Ophthalmics', 'Ophthalmologicals', 'Phosphotransferases', 'Phosphotransferases (Alcohol Group Acceptor)', 'Protein Kinases', 'Protein-Tyrosine Kinases', 'Proteins', 'Receptor Protein-Tyrosine Kinases', 'Receptors, Growth Factor', 'Receptors, Peptide', 'Recombinant Proteins', 'Sensory Organs', 'Transferases', 'Vascular Endothelial Growth Factor Inhibitor', 'Vascular Endothelial Growth Factor Inhibitors']"
20;"['Amino Acids, Peptides, And Proteins', 'Antibodies', 'Antineoplastic And Immunomodulating Agents', 'Blood Proteins', 'Globulins', 'Immunoglobulins', 'Immunoproteins', 'Immunosuppressive Agents', 'Interleukin Inhibitors', 'Proteins', 'Serum Globulins']"
21;"['Adrenergic And Dopaminergic Agents', 'Antihypertensive Agents', 'Antihypertensive Agents Indicated For Hypertension', 'Benzazepines', 'Cardiac Stimulants Excl. Cardiac Glycosides', 'Cardiac Therapy', 'Cardiovascular Agents', 'Dopamine Agents', 'Dopamine Agonists', 'Dopamine D1 Receptor Agonists', 'Drugs That Are Mainly Renally Excreted', 'Heterocyclic Compounds, Fused-Ring', 'Hypotensive Agents', 'Neurotransmitter Agents', 'Vasodilating Agents']"
22;"['Adjuvants', 'Anesthetics', 'Anesthetics, General', 'Anticholinergic Agents', 'Anticonvulsants', 'Barbiturates', 'Barbiturates, Plain', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C9 Substrates', 'Cytochrome P-450 Substrates', 'Gaba Agents', 'Gaba Modulators', 'Hypnotics And Sedatives', 'Nervous System', 'Neurotransmitter Agents', 'Nicotinic Antagonists', 'Psycholeptics', 'Pyrimidines', 'Pyrimidinones']"
23;"['Anthracenes', 'Anti-Inflammatory Agents', 'Antiinflammatory And Antirheumatic Products', 'Antiinflammatory And Antirheumatic Products, Non-Steroids', 'Cytochrome P-450 Cyp1A2 Inhibitors', 'Cytochrome P-450 Cyp1A2 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2C9 Inhibitors', 'Cytochrome P-450 Cyp2C9 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2D6 Inhibitors', 'Cytochrome P-450 Cyp2D6 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Cyp2E1 Inhibitors', 'Cytochrome P-450 Cyp2E1 Inhibitors (Strength Unknown)', 'Cytochrome P-450 Enzyme Inhibitors', 'Musculo-Skeletal System', 'Quinones']"
24;"['Amino Acids, Peptides, And Proteins', 'Biological Factors', 'Blood And Blood Forming Organs', 'Blood Coagulation Factors', 'Blood Proteins', 'Coagulants', 'Factor Viii', 'Hematologic Agents', 'Hemophilia A', 'Hemostatics', 'Human Antihemophilic Factor', 'Increased Coagulation Activity', 'Proteins']"
25;"['5-Alpha Reductase Inhibitors', 'Adrenergic Alpha-Antagonists', 'Adrenergic Antagonists', 'Agents That Produce Hypertension', 'Azasteroids', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Substrates', 'Drugs Used In Benign Prostatic Hypertrophy', 'Enzyme Inhibitors', 'Fused-Ring Compounds', 'Genito Urinary System And Sex Hormones', 'Hormone Antagonists', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Steroid Synthesis Inhibitors', 'Steroids', 'Urologicals']"
26;"['Bcrp/Abcg2 Inhibitors', 'Blood And Blood Forming Organs', 'Cytochrome P-450 Cyp2C8 Inducers', 'Cytochrome P-450 Cyp2C8 Inducers (Weak)', 'Cytochrome P-450 Cyp2C9 Inducers', 'Cytochrome P-450 Cyp2C9 Inducers (Weak)', 'Cytochrome P-450 Enzyme Inducers', 'Hemostatics', 'Oat3/Slc22A8 Inhibitors', 'P-Glycoprotein Substrates', 'Receptors, Thrombopoietin, Agonists', 'Sulfur Compounds', 'Thrombopoietin Receptor Agonist']"
27;"['Anticoagulants', 'Decreased Coagulation Factor Activity', 'Factor Xa Inhibitors', 'Recombinant Antithrombin', 'Thrombin Inhibitors']"
28;"['Anti-Bacterial Agents', 'Anti-Infective Agents', 'Antibacterials For Systemic Use', 'Antiinfectives For Systemic Use', 'Cytochrome P-450 Cyp3A Inhibitors', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Inhibitors', 'Cytochrome P-450 Cyp3A4 Inhibitors (Strong)', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A5 Inhibitors', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A7 Substrates', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Substrates', 'Erythromycin And Similars', 'Ketolide Antibacterial', 'Ketolides', 'Lactones', 'Macrolides', 'Macrolides, Lincosamides And Streptogramins', 'Moderate Risk Qtc-Prolonging Agents', 'Oatp1B1/Slco1B1 Inhibitors', 'Oatp1B3 Inhibitors', 'Polyketides', 'Protein Synthesis Inhibitors', 'Qtc Prolonging Agents', 'Rna, Ribosomal, 23S']"
29;"['Amines', 'Hydroxy Acids', 'Hydroxylamines']"
30;"['Acids, Acyclic', 'Benzene Derivatives', 'Biphenyl Compounds', 'Fatty Acids', 'Fatty Acids, Volatile', 'Lipids', 'Propionates']"
31;"['Adrenergic Agonists', 'Adrenergic Beta-2 Receptor Agonists', 'Adrenergic Beta-Agonists', 'Adrenergics, Inhalants', 'Agents Producing Tachycardia', 'Agents That Produce Hypertension', 'Agents To Treat Airway Disease', 'Alcohols', 'Benzene Derivatives', 'Benzyl Compounds', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Drugs For Obstructive Airway Diseases', 'Drugs That Are Mainly Renally Excreted', 'Hydrocarbons, Chlorinated', 'Hydrocarbons, Halogenated', 'Immunosuppressive Agents', 'Long-Acting Beta-Adrenoceptor Agonists', 'Potential Qtc-Prolonging Agents', 'Qtc Prolonging Agents']"
32;"['Alkaloids', 'Aza Compounds', 'Azabicyclo Compounds', 'Iodine Radioisotopes', 'Tropanes']"
33;"['Acids, Carbocyclic', 'Hydrocarbons, Halogenated']"
34;"['Adrenal Cortex Hormones', 'Corticosteroids', 'Cytochrome P-450 Cyp3A Inducers', 'Cytochrome P-450 Cyp3A4 Inducers', 'Cytochrome P-450 Cyp3A4 Inducers (Strength Unknown)', 'Cytochrome P-450 Cyp3A5 Inducers', 'Cytochrome P-450 Cyp3A5 Inducers (Strength Unknown)', 'Cytochrome P-450 Enzyme Inducers', 'Fused-Ring Compounds', 'Glucocorticoids', 'Hormones', 'Hormones, Hormone Substitutes, And Hormone Antagonists', 'Pregnadienes', 'Pregnadienetriols', 'Pregnanes', 'Steroids']"
35;"['Alkylating Drugs', 'Antineoplastic Agents', 'Antineoplastic Agents, Alkylating', 'Noxae', 'Radiation-Sensitizing Agents', 'Terpenes', 'Toxic Actions']"
36;"['Amines', 'Hydroxylamines']"
37;"['Carbohydrates', 'Deoxyribonucleotides', 'Glycosides', 'Nucleic Acids, Nucleotides, And Nucleosides', 'Nucleotides', 'Pyrimidine Nucleotides', 'Pyrimidines', 'Ribonucleotides', 'Uracil Nucleotides']"
38;"['Amino Acids', 'Amino Acids, Peptides, And Proteins', 'Antibiotics, Antineoplastic', 'Antineoplastic Agents', 'Chelating Agents', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Sequestering Agents']"
39;"['Acids, Carbocyclic', 'Amides', 'Benzene Derivatives', 'Benzoates', 'Heterocyclic Compounds, Fused-Ring']"
40;"['Adrenergic Agonists', 'Adrenergic Alpha-1 Receptor Agonists', 'Adrenergic Alpha-2 Receptor Agonists', 'Adrenergic Alpha-Agonists', 'Adrenergic And Dopaminergic Agents', 'Adrenergic Beta-1 Receptor Agonists', 'Adrenergic Beta-2 Receptor Agonists', 'Adrenergic Beta-3 Receptor Agonists', 'Adrenergic Beta-Agonists', 'Agents Producing Tachycardia', 'Agents That Produce Hypertension', 'Alcohols', 'Amines', 'Amino Acids', 'Amino Acids, Neutral', 'Amino Acids, Peptides, And Proteins', 'Amino Alcohols', 'Anti-Dyskinesia Agents', 'Benzene Derivatives', 'Biogenic Amines', 'Biogenic Monoamines', 'Cardiac Stimulants Excl. Cardiac Glycosides', 'Cardiac Therapy', 'Catecholamines', 'Catechols', 'Central Nervous System Agents', 'Drugs That Are Mainly Renally Excreted', 'Epinephrine And Similars', 'Ethanolamines', 'Increased Blood Pressure', 'Phenols']"
1090;"['Heterocyclic Compounds, Fused-Ring', 'Nitric Oxide Synthase, Antagonists & Inhibitors', 'Pyrazoles']"
49;"['Agents Causing Hyperkalemia', 'Antiarrhythmic Agents', 'Autonomic Agents', 'Bradycardia-Causing Agents', 'Calcium Channel Blockers', 'Calcium-Regulating Hormones And Agents', 'Cardiovascular Agents', 'Central Nervous System Agents', 'Central Nervous System Depressants', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Ketones', 'Membrane Transport Modulators', 'Moderate Risk Qtc-Prolonging Agents', 'Muscle Relaxants', 'Muscle Relaxants, Centrally Acting Agents', 'Musculo-Skeletal System', 'Neuromuscular Agents', 'Parasympatholytics', 'Peripheral Nervous System Agents', 'Qtc Prolonging Agents', 'Vasodilating Agents']"
50;"['Agents Causing Hyperkalemia', 'Amidines', 'Antiarrhythmic Agents', 'Anticholinergic Agents', 'Bradycardia-Causing Agents', 'Calcium Channel Blockers', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Substrates', 'Guanidines', 'Nicotinic Antagonists', 'Nmda Receptor Antagonists', 'Oct1 Substrates', 'Oct2 Substrates', 'Vasodilating Agents']"
51;"['Cysteine Endopeptidases', 'Cysteine Proteases', 'Endopeptidases', 'Enzymes', 'Enzymes And Coenzymes', 'Gastrointestinal Agents', 'Hydrolases', 'Papain, Antagonists & Inhibitors', 'Peptide Hydrolases']"
52;"['Acids, Carbocyclic', 'Amides', 'Benzene Derivatives', 'Benzoates', 'Tyrosine Kinase Inhibitors']"
53;"['Alcohols', 'Amino Acids, Peptides, And Proteins', 'Biological Factors', 'Blood Coagulation Factors', 'Blood Proteins', 'Compounds Used In A Research, Industrial, Or Household Setting', 'Drugs That Are Mainly Renally Excreted', 'Ethylene Glycols', 'Glycols', 'Hemostatics', 'Human Antihemophilic Factor', 'Macromolecular Substances', 'Pegylated Agents', 'Polymers', 'Proteins', 'Recombinant Proteins']"
54;"['Agents Causing Angioedema', 'Amino Acids, Peptides, And Proteins', 'Anticoagulants', 'Biological Factors', 'Blood And Blood Forming Organs', 'Blood Proteins', 'Cardiovascular Agents', 'Endopeptidases', 'Enzymes', 'Enzymes And Coenzymes', 'Fibrin Modulating Agents', 'Fibrinolytic Agents', 'Hematologic Agents', 'Hydrolases', 'Hypotensive Agents', 'Peptide Hydrolases', 'Plasminogen Activators', 'Proteins', 'Serine Endopeptidases', 'Serine Proteases', 'Streptokinase, Antagonists & Inhibitors']"
55;"['Alcohols', 'Glycols', 'Solvents']"
56;"['Acids, Carbocyclic', 'Amides', 'Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Benzamides And Benzamide Derivatives', 'Benzene Derivatives', 'Benzoates', 'Cytochrome P-450 Cyp1A2 Substrates', 'Cytochrome P-450 Cyp1A2 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp2C19 Substrates', 'Cytochrome P-450 Cyp2C19 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A Substrates', 'Cytochrome P-450 Cyp3A4 Substrates', 'Cytochrome P-450 Cyp3A4 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Cyp3A5 Substrates', 'Cytochrome P-450 Cyp3A5 Substrates With A Narrow Therapeutic Index', 'Cytochrome P-450 Substrates', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Indazoles', 'Kinase Inhibitor', 'Narrow Therapeutic Index Drugs', 'Oatp1B1/Slco1B1 Inhibitors', 'Oatp1B1/Slco1B1 Substrates', 'P-Glycoprotein Inhibitors', 'P-Glycoprotein Substrates', 'P-Glycoprotein Substrates With A Narrow Therapeutic Index', 'Protein Kinase Inhibitors', 'Pyrazoles', 'Receptor Tyrosine Kinase Inhibitors', 'Tyrosine Kinase Inhibitors', 'Ugt1A1 Substrates', 'Ugt1A1 Substrates With A Narrow Therapeutic Index']"
57;"['Antineoplastic Agents', 'Antineoplastic And Immunomodulating Agents', 'Enzyme Inhibitors', 'Heterocyclic Compounds, Fused-Ring', 'Narrow Therapeutic Index Drugs', 'Poly(Adp-Ribose) Polymerase Inhibitors', 'Pyrazoles']"
