phenocode;pheno_sex;description;description_more
130082;both_sexes;Date A49 first reported (bacterial infection of unspecified site);"Date of the first occurrence of any code mapped to 3-character ICD10 A49. The code corresponds to ""bacterial infection of unspecified site"". Note that events which were apparently before birth were omitted when constructing this data field."
130092;both_sexes;Date A54 first reported (gonococcal infection);"Date of the first occurrence of any code mapped to 3-character ICD10 A54. The code corresponds to ""gonococcal infection"". Note that events which were apparently before birth were omitted when constructing this data field."
130104;both_sexes;Date A60 first reported (anogenital herpesviral [herpes simplex] infections);"Date of the first occurrence of any code mapped to 3-character ICD10 A60. The code corresponds to ""anogenital herpesviral [herpes simplex] infections"". Note that events which were apparently before birth were omitted when constructing this data field."
130226;both_sexes;Date B35 first reported (dermatophytosis);"Date of the first occurrence of any code mapped to 3-character ICD10 B35. The code corresponds to ""dermatophytosis"". Note that events which were apparently before birth were omitted when constructing this data field."
25901;both_sexes;Volume of grey matter in Crus I Cerebellum (vermis);Volume of grey matter in Vermis Crus I Cerebellum
25902;both_sexes;Volume of grey matter in Crus I Cerebellum (right);Volume of grey matter in Right Crus I Cerebellum
130106;both_sexes;"Date A63 first reported (other predominantly sexually transmitted diseases, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 A63. The code corresponds to ""other predominantly sexually transmitted diseases, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
130118;both_sexes;Date A69 first reported (other spirochaetal infections);"Date of the first occurrence of any code mapped to 3-character ICD10 A69. The code corresponds to ""other spirochaetal infections"". Note that events which were apparently before birth were omitted when constructing this data field."
130134;both_sexes;Date A80 first reported (acute poliomyelitis);"Date of the first occurrence of any code mapped to 3-character ICD10 A80. The code corresponds to ""acute poliomyelitis"". Note that events which were apparently before birth were omitted when constructing this data field."
130148;both_sexes;Date A87 first reported (viral meningitis);"Date of the first occurrence of any code mapped to 3-character ICD10 A87. The code corresponds to ""viral meningitis"". Note that events which were apparently before birth were omitted when constructing this data field."
130174;both_sexes;Date B00 first reported (herpesviral [herpes simplex] infections);"Date of the first occurrence of any code mapped to 3-character ICD10 B00. The code corresponds to ""herpesviral [herpes simplex] infections"". Note that events which were apparently before birth were omitted when constructing this data field."
130176;both_sexes;Date B01 first reported (varicella [chickenpox]);"Date of the first occurrence of any code mapped to 3-character ICD10 B01. The code corresponds to ""varicella [chickenpox]"". Note that events which were apparently before birth were omitted when constructing this data field."
130178;both_sexes;Date B02 first reported (zoster [herpes zoster]);"Date of the first occurrence of any code mapped to 3-character ICD10 B02. The code corresponds to ""zoster [herpes zoster]"". Note that events which were apparently before birth were omitted when constructing this data field."
130184;both_sexes;Date B05 first reported (measles);"Date of the first occurrence of any code mapped to 3-character ICD10 B05. The code corresponds to ""measles"". Note that events which were apparently before birth were omitted when constructing this data field."
130186;both_sexes;Date B06 first reported (rubella [german measles]);"Date of the first occurrence of any code mapped to 3-character ICD10 B06. The code corresponds to ""rubella [german measles]"". Note that events which were apparently before birth were omitted when constructing this data field."
130188;both_sexes;Date B07 first reported (viral warts);"Date of the first occurrence of any code mapped to 3-character ICD10 B07. The code corresponds to ""viral warts"". Note that events which were apparently before birth were omitted when constructing this data field."
130190;both_sexes;"Date B08 first reported (other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 B08. The code corresponds to ""other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
130194;both_sexes;Date B15 first reported (acute hepatitis a);"Date of the first occurrence of any code mapped to 3-character ICD10 B15. The code corresponds to ""acute hepatitis a"". Note that events which were apparently before birth were omitted when constructing this data field."
130196;both_sexes;Date B16 first reported (acute hepatitis b);"Date of the first occurrence of any code mapped to 3-character ICD10 B16. The code corresponds to ""acute hepatitis b"". Note that events which were apparently before birth were omitted when constructing this data field."
130198;both_sexes;Date B17 first reported (other acute viral hepatitis);"Date of the first occurrence of any code mapped to 3-character ICD10 B17. The code corresponds to ""other acute viral hepatitis"". Note that events which were apparently before birth were omitted when constructing this data field."
130200;both_sexes;Date B18 first reported (chronic viral hepatitis);"Date of the first occurrence of any code mapped to 3-character ICD10 B18. The code corresponds to ""chronic viral hepatitis"". Note that events which were apparently before birth were omitted when constructing this data field."
130202;both_sexes;Date B19 first reported (unspecified viral hepatitis);"Date of the first occurrence of any code mapped to 3-character ICD10 B19. The code corresponds to ""unspecified viral hepatitis"". Note that events which were apparently before birth were omitted when constructing this data field."
130212;both_sexes;Date B24 first reported (unspecified human immunodeficiency virus [hiv] disease);"Date of the first occurrence of any code mapped to 3-character ICD10 B24. The code corresponds to ""unspecified human immunodeficiency virus [hiv] disease"". Note that events which were apparently before birth were omitted when constructing this data field."
130214;both_sexes;Date B25 first reported (cytomegaloviral disease);"Date of the first occurrence of any code mapped to 3-character ICD10 B25. The code corresponds to ""cytomegaloviral disease"". Note that events which were apparently before birth were omitted when constructing this data field."
130216;both_sexes;Date B26 first reported (mumps);"Date of the first occurrence of any code mapped to 3-character ICD10 B26. The code corresponds to ""mumps"". Note that events which were apparently before birth were omitted when constructing this data field."
130218;both_sexes;Date B27 first reported (infectious mononucleosis);"Date of the first occurrence of any code mapped to 3-character ICD10 B27. The code corresponds to ""infectious mononucleosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130222;both_sexes;"Date B33 first reported (other viral diseases, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 B33. The code corresponds to ""other viral diseases, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
130224;both_sexes;Date B34 first reported (viral infection of unspecified site);"Date of the first occurrence of any code mapped to 3-character ICD10 B34. The code corresponds to ""viral infection of unspecified site"". Note that events which were apparently before birth were omitted when constructing this data field."
22409;both_sexes;Total thigh muscle volume;Total thigh muscle volume is a derived variable calculated as a sum of all thigh muscle groups.
22410;both_sexes;Total trunk fat volume;Total trunk fat is a derived variable calculated as a sum of VAT and ASAT volumes.
130228;both_sexes;Date B36 first reported (other superficial mycoses);"Date of the first occurrence of any code mapped to 3-character ICD10 B36. The code corresponds to ""other superficial mycoses"". Note that events which were apparently before birth were omitted when constructing this data field."
130230;both_sexes;Date B37 first reported (candidiasis);"Date of the first occurrence of any code mapped to 3-character ICD10 B37. The code corresponds to ""candidiasis"". Note that events which were apparently before birth were omitted when constructing this data field."
130244;both_sexes;Date B44 first reported (aspergillosis);"Date of the first occurrence of any code mapped to 3-character ICD10 B44. The code corresponds to ""aspergillosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130254;both_sexes;Date B49 first reported (unspecified mycosis);"Date of the first occurrence of any code mapped to 3-character ICD10 B49. The code corresponds to ""unspecified mycosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130264;both_sexes;Date B54 first reported (unspecified malaria);"Date of the first occurrence of any code mapped to 3-character ICD10 B54. The code corresponds to ""unspecified malaria"". Note that events which were apparently before birth were omitted when constructing this data field."
130310;both_sexes;Date B80 first reported (enterobiasis);"Date of the first occurrence of any code mapped to 3-character ICD10 B80. The code corresponds to ""enterobiasis"". Note that events which were apparently before birth were omitted when constructing this data field."
130318;both_sexes;Date B85 first reported (pediculosis and phthiriasis);"Date of the first occurrence of any code mapped to 3-character ICD10 B85. The code corresponds to ""pediculosis and phthiriasis"". Note that events which were apparently before birth were omitted when constructing this data field."
130320;both_sexes;Date B86 first reported (scabies);"Date of the first occurrence of any code mapped to 3-character ICD10 B86. The code corresponds to ""scabies"". Note that events which were apparently before birth were omitted when constructing this data field."
130336;both_sexes;Date B95 first reported (streptococcus and staphylococcus as the cause of diseases classified to other chapters);"Date of the first occurrence of any code mapped to 3-character ICD10 B95. The code corresponds to ""streptococcus and staphylococcus as the cause of diseases classified to other chapters"". Note that events which were apparently before birth were omitted when constructing this data field."
130338;both_sexes;Date B96 first reported (other bacterial agents as the cause of diseases classified to other chapters);"Date of the first occurrence of any code mapped to 3-character ICD10 B96. The code corresponds to ""other bacterial agents as the cause of diseases classified to other chapters"". Note that events which were apparently before birth were omitted when constructing this data field."
130340;both_sexes;Date B97 first reported (viral agents as the cause of diseases classified to other chapters);"Date of the first occurrence of any code mapped to 3-character ICD10 B97. The code corresponds to ""viral agents as the cause of diseases classified to other chapters"". Note that events which were apparently before birth were omitted when constructing this data field."
130342;both_sexes;Date B98 first reported (other specified infectious agents as the cause of diseases classified to other chapters);"Date of the first occurrence of any code mapped to 3-character ICD10 B98. The code corresponds to ""other specified infectious agents as the cause of diseases classified to other chapters"". Note that events which were apparently before birth were omitted when constructing this data field."
130344;both_sexes;Date B99 first reported (other and unspecified infectious diseases);"Date of the first occurrence of any code mapped to 3-character ICD10 B99. The code corresponds to ""other and unspecified infectious diseases"". Note that events which were apparently before birth were omitted when constructing this data field."
130622;both_sexes;Date D50 first reported (iron deficiency anaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 D50. The code corresponds to ""iron deficiency anaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130624;both_sexes;Date D51 first reported (vitamin b12 deficiency anaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 D51. The code corresponds to ""vitamin b12 deficiency anaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130626;both_sexes;Date D52 first reported (folate deficiency anaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 D52. The code corresponds to ""folate deficiency anaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130632;both_sexes;Date D56 first reported (thalassaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 D56. The code corresponds to ""thalassaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130634;both_sexes;Date D57 first reported (sickle-cell disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 D57. The code corresponds to ""sickle-cell disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
130636;both_sexes;Date D58 first reported (other hereditary haemolytic anaemias);"Date of the first occurrence of any code mapped to 3-character ICD10 D58. The code corresponds to ""other hereditary haemolytic anaemias"". Note that events which were apparently before birth were omitted when constructing this data field."
130638;both_sexes;Date D59 first reported (acquired haemolytic anaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 D59. The code corresponds to ""acquired haemolytic anaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
130642;both_sexes;Date D61 first reported (other aplastic anaemias);"Date of the first occurrence of any code mapped to 3-character ICD10 D61. The code corresponds to ""other aplastic anaemias"". Note that events which were apparently before birth were omitted when constructing this data field."
130644;both_sexes;Date D62 first reported (acute posthaemorrhagic anaemia);"Date of the first occurrence of any code mapped to 3-character ICD10 D62. The code corresponds to ""acute posthaemorrhagic anaemia"". Note that events which were apparently before birth were omitted when constructing this data field."
C77;both_sexes;C77 Secondary and unspecified malignant neoplasm of lymph nodes;truncated: true
C78;both_sexes;C78 Secondary malignant neoplasm of respiratory and digestive organs;truncated: true
130646;both_sexes;Date D63 first reported (anaemia in chronic diseases classified elsewhere);"Date of the first occurrence of any code mapped to 3-character ICD10 D63. The code corresponds to ""anaemia in chronic diseases classified elsewhere"". Note that events which were apparently before birth were omitted when constructing this data field."
130648;both_sexes;Date D64 first reported (other anaemias);"Date of the first occurrence of any code mapped to 3-character ICD10 D64. The code corresponds to ""other anaemias"". Note that events which were apparently before birth were omitted when constructing this data field."
130656;both_sexes;Date D68 first reported (other coagulation defects);"Date of the first occurrence of any code mapped to 3-character ICD10 D68. The code corresponds to ""other coagulation defects"". Note that events which were apparently before birth were omitted when constructing this data field."
130658;both_sexes;Date D69 first reported (purpura and other haemorrhagic conditions);"Date of the first occurrence of any code mapped to 3-character ICD10 D69. The code corresponds to ""purpura and other haemorrhagic conditions"". Note that events which were apparently before birth were omitted when constructing this data field."
130660;both_sexes;Date D70 first reported (agranulocytosis);"Date of the first occurrence of any code mapped to 3-character ICD10 D70. The code corresponds to ""agranulocytosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130664;both_sexes;Date D72 first reported (other disorders of white blood cells);"Date of the first occurrence of any code mapped to 3-character ICD10 D72. The code corresponds to ""other disorders of white blood cells"". Note that events which were apparently before birth were omitted when constructing this data field."
130666;both_sexes;Date D73 first reported (diseases of spleen);"Date of the first occurrence of any code mapped to 3-character ICD10 D73. The code corresponds to ""diseases of spleen"". Note that events which were apparently before birth were omitted when constructing this data field."
130670;both_sexes;Date D75 first reported (other diseases of blood and blood-forming organs);"Date of the first occurrence of any code mapped to 3-character ICD10 D75. The code corresponds to ""other diseases of blood and blood-forming organs"". Note that events which were apparently before birth were omitted when constructing this data field."
130676;both_sexes;Date D80 first reported (immunodeficiency with predominantly antibody defects);"Date of the first occurrence of any code mapped to 3-character ICD10 D80. The code corresponds to ""immunodeficiency with predominantly antibody defects"". Note that events which were apparently before birth were omitted when constructing this data field."
130686;both_sexes;Date D86 first reported (sarcoidosis);"Date of the first occurrence of any code mapped to 3-character ICD10 D86. The code corresponds to ""sarcoidosis"". Note that events which were apparently before birth were omitted when constructing this data field."
130688;both_sexes;"Date D89 first reported (other disorders involving the immune mechanism, not elsewhere classified)";"Date of the first occurrence of any code mapped to 3-character ICD10 D89. The code corresponds to ""other disorders involving the immune mechanism, not elsewhere classified"". Note that events which were apparently before birth were omitted when constructing this data field."
130696;both_sexes;Date E03 first reported (other hypothyroidism);"Date of the first occurrence of any code mapped to 3-character ICD10 E03. The code corresponds to ""other hypothyroidism"". Note that events which were apparently before birth were omitted when constructing this data field."
130698;both_sexes;Date E04 first reported (other non-toxic goitre);"Date of the first occurrence of any code mapped to 3-character ICD10 E04. The code corresponds to ""other non-toxic goitre"". Note that events which were apparently before birth were omitted when constructing this data field."
130700;both_sexes;Date E05 first reported (thyrotoxicosis [hyperthyroidism]);"Date of the first occurrence of any code mapped to 3-character ICD10 E05. The code corresponds to ""thyrotoxicosis [hyperthyroidism]"". Note that events which were apparently before birth were omitted when constructing this data field."
130702;both_sexes;Date E06 first reported (thyroiditis);"Date of the first occurrence of any code mapped to 3-character ICD10 E06. The code corresponds to ""thyroiditis"". Note that events which were apparently before birth were omitted when constructing this data field."
130704;both_sexes;Date E07 first reported (other disorders of thyroid);"Date of the first occurrence of any code mapped to 3-character ICD10 E07. The code corresponds to ""other disorders of thyroid"". Note that events which were apparently before birth were omitted when constructing this data field."
130706;both_sexes;Date E10 first reported (insulin-dependent diabetes mellitus);"Date of the first occurrence of any code mapped to 3-character ICD10 E10. The code corresponds to ""insulin-dependent diabetes mellitus"". Note that events which were apparently before birth were omitted when constructing this data field."
130708;both_sexes;Date E11 first reported (non-insulin-dependent diabetes mellitus);"Date of the first occurrence of any code mapped to 3-character ICD10 E11. The code corresponds to ""non-insulin-dependent diabetes mellitus"". Note that events which were apparently before birth were omitted when constructing this data field."
130712;both_sexes;Date E13 first reported (other specified diabetes mellitus);"Date of the first occurrence of any code mapped to 3-character ICD10 E13. The code corresponds to ""other specified diabetes mellitus"". Note that events which were apparently before birth were omitted when constructing this data field."
130714;both_sexes;Date E14 first reported (unspecified diabetes mellitus);"Date of the first occurrence of any code mapped to 3-character ICD10 E14. The code corresponds to ""unspecified diabetes mellitus"". Note that events which were apparently before birth were omitted when constructing this data field."
130718;both_sexes;Date E16 first reported (other disorders of pancreatic internal secretion);"Date of the first occurrence of any code mapped to 3-character ICD10 E16. The code corresponds to ""other disorders of pancreatic internal secretion"". Note that events which were apparently before birth were omitted when constructing this data field."
130722;both_sexes;Date E21 first reported (hyperparathyroidism and other disorders of parathyroid gland);"Date of the first occurrence of any code mapped to 3-character ICD10 E21. The code corresponds to ""hyperparathyroidism and other disorders of parathyroid gland"". Note that events which were apparently before birth were omitted when constructing this data field."
130724;both_sexes;Date E22 first reported (hyperfunction of pituitary gland);"Date of the first occurrence of any code mapped to 3-character ICD10 E22. The code corresponds to ""hyperfunction of pituitary gland"". Note that events which were apparently before birth were omitted when constructing this data field."
130726;both_sexes;Date E23 first reported (hypofunction and other disorders of pituitary gland);"Date of the first occurrence of any code mapped to 3-character ICD10 E23. The code corresponds to ""hypofunction and other disorders of pituitary gland"". Note that events which were apparently before birth were omitted when constructing this data field."
130734;both_sexes;Date E27 first reported (other disorders of adrenal gland);"Date of the first occurrence of any code mapped to 3-character ICD10 E27. The code corresponds to ""other disorders of adrenal gland"". Note that events which were apparently before birth were omitted when constructing this data field."
130736;both_sexes;Date E28 first reported (ovarian dysfunction);"Date of the first occurrence of any code mapped to 3-character ICD10 E28. The code corresponds to ""ovarian dysfunction"". Note that events which were apparently before birth were omitted when constructing this data field."
130738;both_sexes;Date E29 first reported (testicular dysfunction);"Date of the first occurrence of any code mapped to 3-character ICD10 E29. The code corresponds to ""testicular dysfunction"". Note that events which were apparently before birth were omitted when constructing this data field."
130746;both_sexes;Date E34 first reported (other endocrine disorders);"Date of the first occurrence of any code mapped to 3-character ICD10 E34. The code corresponds to ""other endocrine disorders"". Note that events which were apparently before birth were omitted when constructing this data field."
130762;both_sexes;Date E46 first reported (unspecified protein-energy malnutrition);"Date of the first occurrence of any code mapped to 3-character ICD10 E46. The code corresponds to ""unspecified protein-energy malnutrition"". Note that events which were apparently before birth were omitted when constructing this data field."
130770;both_sexes;Date E53 first reported (deficiency of other b group vitamins);"Date of the first occurrence of any code mapped to 3-character ICD10 E53. The code corresponds to ""deficiency of other b group vitamins"". Note that events which were apparently before birth were omitted when constructing this data field."
130774;both_sexes;Date E55 first reported (vitamin d deficiency);"Date of the first occurrence of any code mapped to 3-character ICD10 E55. The code corresponds to ""vitamin d deficiency"". Note that events which were apparently before birth were omitted when constructing this data field."
130776;both_sexes;Date E56 first reported (other vitamin deficiencies);"Date of the first occurrence of any code mapped to 3-character ICD10 E56. The code corresponds to ""other vitamin deficiencies"". Note that events which were apparently before birth were omitted when constructing this data field."
130784;both_sexes;Date E61 first reported (deficiency of other nutrient elements);"Date of the first occurrence of any code mapped to 3-character ICD10 E61. The code corresponds to ""deficiency of other nutrient elements"". Note that events which were apparently before birth were omitted when constructing this data field."
130792;both_sexes;Date E66 first reported (obesity);"Date of the first occurrence of any code mapped to 3-character ICD10 E66. The code corresponds to ""obesity"". Note that events which were apparently before birth were omitted when constructing this data field."
130804;both_sexes;Date E73 first reported (lactose intolerance);"Date of the first occurrence of any code mapped to 3-character ICD10 E73. The code corresponds to ""lactose intolerance"". Note that events which were apparently before birth were omitted when constructing this data field."
130806;both_sexes;Date E74 first reported (other disorders of carbohydrate metabolism);"Date of the first occurrence of any code mapped to 3-character ICD10 E74. The code corresponds to ""other disorders of carbohydrate metabolism"". Note that events which were apparently before birth were omitted when constructing this data field."
130814;both_sexes;Date E78 first reported (disorders of lipoprotein metabolism and other lipidaemias);"Date of the first occurrence of any code mapped to 3-character ICD10 E78. The code corresponds to ""disorders of lipoprotein metabolism and other lipidaemias"". Note that events which were apparently before birth were omitted when constructing this data field."
130816;both_sexes;Date E79 first reported (disorders of purine and pyrimidine metabolism);"Date of the first occurrence of any code mapped to 3-character ICD10 E79. The code corresponds to ""disorders of purine and pyrimidine metabolism"". Note that events which were apparently before birth were omitted when constructing this data field."
