model;drug_bankID;uniprot_ID;atc_codes;pubmed_ids;interaction_type;known_action;actions;ChEMBL
drug.Drug_Protein;DB00026;P14778;['L04AC03'];17498496|12817089|12355453|17083033|11752352|17352828|10210771;target;yes;antagonist;CHEMBL1201570
drug.Drug_Protein;DB00027;P08183;['R02AB30'];14985103|8621716|11707575;transporter;unknown;substrate|inhibitor;CHEMBL557217
drug.Drug_Protein;DB00028;P12314;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;Q92637;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;P12318;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;P31994;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;P31995;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;P08637;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;O75015;[];17911465|20441428|17351760;target;yes;antagonist;None
drug.Drug_Protein;DB00028;P01024;[];20441428|17351760|17911465;target;yes;binder;None
drug.Drug_Protein;DB00028;P0C0L4;[];20441428|17351760|17911465;target;yes;binder;None
drug.Drug_Protein;DB00028;P0C0L5;[];20441428|17351760|17911465;target;yes;binder;None
drug.Drug_Protein;DB00028;P01031;[];20441428|17351760|17911465;target;yes;binder;None
drug.Drug_Protein;DB00029;P00747;['B01AD03'];18673235|19436656|17963464|11752352;target;yes;activator;CHEMBL2108250
drug.Drug_Protein;DB00029;P02671;['B01AD03'];6750837|7798503;target;yes;;CHEMBL2108250
drug.Drug_Protein;DB00029;P05121;['B01AD03'];17963464;target;unknown;;CHEMBL2108250
drug.Drug_Protein;DB00030;P06213;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];12970169|12038982|17722952|19683471|20230616|11752352|27512793;target;yes;agonist;None
drug.Drug_Protein;DB00030;P08069;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];19145584|21219237|22420005|31771180|25905175;target;unknown;activator;None
drug.Drug_Protein;DB00030;P16870;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];24843127;target;unknown;modulator|product of;None
drug.Drug_Protein;DB00030;P48745;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];23705021;target;unknown;downregulator;None
drug.Drug_Protein;DB00030;P98164;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];9773776;target;unknown;substrate;None
drug.Drug_Protein;DB00030;Q16270;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];17475416;target;unknown;inhibitor|binder;None
drug.Drug_Protein;DB00030;P14735;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];19785409|25945652|30968756;enzyme;unknown;substrate|cleavage;None
drug.Drug_Protein;DB00030;P16519;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];;enzyme;unknown;activator;None
drug.Drug_Protein;DB00030;P29120;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];;enzyme;unknown;activator;None
drug.Drug_Protein;DB00030;P05177;['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01'];1562279|12130701;enzyme;unknown;inducer;None
drug.Drug_Protein;DB00031;P00747;['B01AD11'];18673235|19436656|17963464|11752352;target;yes;activator;CHEMBL2108791
drug.Drug_Protein;DB00031;P02671;['B01AD11'];19436656|18673235|17963464;target;yes;;CHEMBL2108791
drug.Drug_Protein;DB00031;Q03405;['B01AD11'];15231724|11447759|12210068;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P05121;['B01AD11'];11163592|14564902|17963464;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P05120;['B01AD11'];17141398|7958159|3091604;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P05452;['B01AD11'];12694198|9034981|17853709;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P05787;['B01AD11'];9988531|8760360|8810346;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P07355;['B01AD11'];15194650|10578524|12730231;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P27797;['B01AD11'];9359841;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;P27824;['B01AD11'];9359841;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00031;Q07954;['B01AD11'];8344937|1378833|16303771;target;unknown;;CHEMBL2108791
drug.Drug_Protein;DB00032;P23945;['G03GA02', 'G03GA03'];17139284|17016423|14680547|7872378|11752352;target;yes;binder;CHEMBL2108427
drug.Drug_Protein;DB00032;P22888;['G03GA02', 'G03GA03'];17139284|17016423|14680547|7872378;target;yes;;CHEMBL2108427
drug.Drug_Protein;DB00033;P15260;[];17251453|17618444|11752352;target;yes;binder;CHEMBL1201564
drug.Drug_Protein;DB00033;P38484;[];17239631|17618444|11752352;target;yes;binder;CHEMBL1201564
drug.Drug_Protein;DB00033;P05177;[];9064483|9103535;enzyme;unknown;inhibitor;CHEMBL1201564
drug.Drug_Protein;DB00034;P17181;['L03AB04'];15898717|18230610;target;yes;;None
drug.Drug_Protein;DB00034;P48551;['L03AB04'];15898717|18230610;target;yes;;None
drug.Drug_Protein;DB00034;P05177;['L03AB04'];9064483;enzyme;unknown;inhibitor;None
drug.Drug_Protein;DB00035;P30518;['H01BA02'];18761325|16333859|11752352;target;yes;agonist;CHEMBL1429
drug.Drug_Protein;DB00035;P37288;['H01BA02'];10731046|10594321|8957254|15613460;target;yes;;CHEMBL1429
drug.Drug_Protein;DB00035;P47901;['H01BA02'];15613460|14971638|18655906;target;yes;;CHEMBL1429
drug.Drug_Protein;DB00035;P23219;['H01BA02'];15644490;enzyme;unknown;inducer;CHEMBL1429
drug.Drug_Protein;DB00035;P35354;['H01BA02'];15644490;enzyme;unknown;inducer;CHEMBL1429
drug.Drug_Protein;DB00036;P00742;['B02BD08'];5969560|13801371|13713641|14227143|13621053;target;unknown;;None
drug.Drug_Protein;DB00036;P10646;['B02BD08'];11772005|7559599|8700900|12974870|11238112;target;unknown;;None
drug.Drug_Protein;DB00036;P38435;['B02BD08'];17139284|17016423|10901669;target;unknown;;None
drug.Drug_Protein;DB00036;P08709;['B02BD08'];10388743|11735107|12525826|15907148|16370916;target;unknown;;None
drug.Drug_Protein;DB00036;P13726;['B02BD08'];13713641|1586032|6658368;target;unknown;;None
drug.Drug_Protein;DB00038;Q14626;['L03AC02'];11012177|11570967|8637716|8676079|9310465|11752352;target;yes;agonist;CHEMBL1201573
drug.Drug_Protein;DB00039;P21802;['V03AF08'];17728847|16390600|16854582|7499435|9056643|10593896|17456767|11752352|8663044;target;yes;agonist|binder;CHEMBL1201821
drug.Drug_Protein;DB00039;P11362;['V03AF08'];11714710|10950949|11091737|10212269|9890894|8663044;target;unknown;agonist;CHEMBL1201821
drug.Drug_Protein;DB00039;P98160;['V03AF08'];10593896|9788974|16989989|14753849|9094999;target;unknown;ligand;CHEMBL1201821
drug.Drug_Protein;DB00040;P47871;['H04AA01'];17462598|17620721|17623014|17534934|17479245|11752352|8020989|12529935|8144028;target;yes;agonist;CHEMBL266481
drug.Drug_Protein;DB00040;O95838;['H04AA01'];17139284|17016423|11212269|9990065|15817468|12529935;target;unknown;agonist;CHEMBL266481
drug.Drug_Protein;DB00040;P43220;['H04AA01'];17475961|17498508|17534934|12529935;target;unknown;agonist;CHEMBL266481
drug.Drug_Protein;DB00041;P14784;['L03AC01'];16477002|16542139|16569767|16596189|16617454|11752352;target;yes;agonist|modulator;CHEMBL1201438
drug.Drug_Protein;DB00041;P01589;['L03AC01'];17216565|16767920|17530023|17584597|16864089|11752352|10207608;target;yes;agonist|modulator;CHEMBL1201438
drug.Drug_Protein;DB00041;P31785;['L03AC01'];16477002|17598841|17635814|17083048|17363735;target;yes;agonist;CHEMBL1201438
drug.Drug_Protein;DB00041;P35354;['L03AC01'];10823885|18209082;enzyme;unknown;inducer;CHEMBL1201438
drug.Drug_Protein;DB00041;P47712;['L03AC01'];8536274;enzyme;unknown;inducer;CHEMBL1201438
drug.Drug_Protein;DB00041;P08684;['L03AC01'];10086330|14977871;enzyme;unknown;inhibitor;CHEMBL1201438
drug.Drug_Protein;DB00041;P47989;['L03AC01'];8032542;enzyme;unknown;inducer;CHEMBL1201438
drug.Drug_Protein;DB00041;P05181;['L03AC01'];10086330;enzyme;unknown;inhibitor;CHEMBL1201438
drug.Drug_Protein;DB00042;P63027;['M03AX01'];14573702|11752352;target;yes;binder;CHEMBL1201569
drug.Drug_Protein;DB00042;P23763;['M03AX01'];17139284|17016423|11752352;target;yes;binder;CHEMBL1201569
drug.Drug_Protein;DB00042;Q8N9I0;['M03AX01'];17139284|17016423|19576489;target;yes;;CHEMBL1201569
drug.Drug_Protein;DB00043;P12319;['R03DX05'];15356552|17368811|26288408;target;yes;inhibitor;CHEMBL1201589
drug.Drug_Protein;DB00043;Q01362;['R03DX05'];17139284|17016423|17073688|11678779;target;yes;inhibitor;CHEMBL1201589
drug.Drug_Protein;DB00044;P22888;['G03GA07'];17139284|17016423|20161981|11752352;target;yes;agonist;CHEMBL1201419
drug.Drug_Protein;DB00045;O60603;[];14617145;target;yes;other/unknown;None
drug.Drug_Protein;DB00046;P06213;['A10AC04', 'A10AB04', 'A10AD04'];11752352|8964871|8937933|20424816|27512793;target;yes;agonist;CHEMBL1201538
drug.Drug_Protein;DB00046;P08069;['A10AC04', 'A10AB04', 'A10AD04'];22420005|31771180|25905175;target;unknown;activator;CHEMBL1201538
drug.Drug_Protein;DB00046;P05177;['A10AC04', 'A10AB04', 'A10AD04'];1562279|12130701;enzyme;unknown;inducer;CHEMBL1201538
drug.Drug_Protein;DB00046;P14735;['A10AC04', 'A10AB04', 'A10AD04'];12773120;enzyme;unknown;substrate;CHEMBL1201538
drug.Drug_Protein;DB00047;P06213;['A10AE54', 'A10AE04'];11752352|17922476|20424816|18585815;target;yes;agonist;CHEMBL1201497
drug.Drug_Protein;DB00047;P08069;['A10AE54', 'A10AE04'];22420005|20938889|17922476;target;unknown;activator;CHEMBL1201497
drug.Drug_Protein;DB00047;P05177;['A10AE54', 'A10AE04'];1562279|12130701;enzyme;unknown;inducer;CHEMBL1201497
drug.Drug_Protein;DB00048;P02452;['D03BA02', 'M09AB02', 'D03BA52'];17440987|12855673|12535212|12101112|15659034;target;yes;binder;None
drug.Drug_Protein;DB00048;P02458;['D03BA02', 'M09AB02', 'D03BA52'];14613270|17652426|16507130|15299286|12890681;target;yes;binder;None
drug.Drug_Protein;DB00048;P02461;['D03BA02', 'M09AB02', 'D03BA52'];17139284|17016423|2145268;target;yes;binder;None
drug.Drug_Protein;DB00050;P30968;['H01CC02'];11854630|12606421|14561652|14605254|16809153|11752352;target;yes;antagonist;CHEMBL1200490
drug.Drug_Protein;DB00050;P22888;['H01CC02'];17139284|17016423|11943741;target;unknown;;CHEMBL1200490
drug.Drug_Protein;DB00051;P01375;['L04AB04'];12044041|14532145|15022409|15046527;target;yes;antibody;CHEMBL1201580
drug.Drug_Protein;DB00052;P10912;['H01AC01'];16917171|16965663|17082603|17128263|17133434|11752352|22291494;target;yes;ligand;CHEMBL1201621
drug.Drug_Protein;DB00052;P16471;['H01AC01'];17279774|17395896|17317019|2270485;target;yes;ligand;CHEMBL1201621
drug.Drug_Protein;DB00052;P05177;['H01AC01'];11907490;enzyme;unknown;inducer;CHEMBL1201621
drug.Drug_Protein;DB00052;P33261;['H01AC01'];11907490;enzyme;unknown;inhibitor;CHEMBL1201621
drug.Drug_Protein;DB00052;P08183;['H01AC01'];10518648;transporter;unknown;substrate;CHEMBL1201621
drug.Drug_Protein;DB00054;P05106;['B01AC13'];11588534|12165285|17441904|11752352|18510478|12749745;target;yes;antagonist;CHEMBL1201584
drug.Drug_Protein;DB00054;P08514;['B01AC13'];19499855|18510478|12749745;target;yes;antagonist;CHEMBL1201584
drug.Drug_Protein;DB00054;P12318;['B01AC13'];;target;unknown;;CHEMBL1201584
drug.Drug_Protein;DB00054;P31994;['B01AC13'];;target;unknown;;CHEMBL1201584
drug.Drug_Protein;DB00054;P04004;['B01AC13'];17160551|12749745;target;unknown;;CHEMBL1201584
drug.Drug_Protein;DB00055;P00451;['B01AD10'];9184404|18954704|11752352|6419799;target;yes;inhibitor;None
drug.Drug_Protein;DB00055;P12259;['B01AD10'];11236773|11714212|11893230|12004250|12030642|11752352|6419799;target;yes;inhibitor;None
drug.Drug_Protein;DB00055;P05121;['B01AD10'];11259926|17566522|12004248|14515185;target;unknown;;None
drug.Drug_Protein;DB00055;P07204;['B01AD10'];11804648|15252033|1660324|2836377|3039877;target;unknown;;None
drug.Drug_Protein;DB00055;P07225;['B01AD10'];12062545|1828915|3160800;target;unknown;;None
drug.Drug_Protein;DB00055;P00734;['B01AD10'];10463819|12062545|12070133|12208873|12296618;target;unknown;;None
drug.Drug_Protein;DB00055;P02776;['B01AD10'];11259926;target;unknown;;None
drug.Drug_Protein;DB00055;P05154;['B01AD10'];10456457|7769227|9620917|8391599|12671072;target;unknown;;None
drug.Drug_Protein;DB00055;P35237;['B01AD10'];7548163;target;unknown;;None
drug.Drug_Protein;DB00055;Q9UNN8;['B01AD10'];9529319|12871285|12353077|17566522|15118520;target;unknown;;None
drug.Drug_Protein;DB00056;P20138;['L01XC05'];10942240|11249747|11342449|11410481|11432892|20564405|11752352;target;yes;antibody;CHEMBL1201506
drug.Drug_Protein;DB00056;O75015;['L01XC05'];9815888|9649182|7509291;target;unknown;;CHEMBL1201506
drug.Drug_Protein;DB00056;P08637;['L01XC05'];17139284|17016423|7509291;target;unknown;;CHEMBL1201506
drug.Drug_Protein;DB00056;P12314;['L01XC05'];7509291;target;unknown;;CHEMBL1201506
drug.Drug_Protein;DB00058;P08246;['B02AB02'];20521180|16773239|11752352;target;yes;inhibitor;None
drug.Drug_Protein;DB00059;P05543;['L01XX24'];;carrier;no;inhibitor;CHEMBL2108546
drug.Drug_Protein;DB00060;P17181;['L03AB07'];10049744|16912135|12034032|11747625;target;yes;agonist;CHEMBL1201562
drug.Drug_Protein;DB00060;P48551;['L03AB07'];16912135|11747625;target;yes;;CHEMBL1201562
drug.Drug_Protein;DB00060;P05177;['L03AB07'];9064483;enzyme;unknown;inhibitor;CHEMBL1201562
drug.Drug_Protein;DB00061;P62993;['L03AX04'];9299436;target;unknown;binder;CHEMBL1201514
drug.Drug_Protein;DB00063;P05106;['B01AC16'];11588534|14618072|15860200|12360110|14617694|12928738|10592235;target;yes;;CHEMBL1174
drug.Drug_Protein;DB00065;P01375;['L04AB02'];11752352|17642244|16052578|16456024|15674127|16622728|12110154|15481318|15691217|15691299|15804598;target;yes;inhibitor;CHEMBL1201581
drug.Drug_Protein;DB00066;P23945;['G03GA06', 'G03GA10', 'G03GA05'];11299519|7755615|2108722|8319832|8070368|18020563|11752352;target;yes;agonist;CHEMBL1201692
drug.Drug_Protein;DB00067;P30518;[];17020465|16333859|16563128|17287200|11752352|29480411;target;yes;agonist;CHEMBL373742
drug.Drug_Protein;DB00067;P37288;[];17275806|16532916|16511036|16011575|17303660|29480411;target;yes;agonist;CHEMBL373742
drug.Drug_Protein;DB00067;P47901;[];17027167|16720725|17284170|16114100|15993108|29480411;target;yes;agonist;CHEMBL373742
drug.Drug_Protein;DB00067;P30559;[];24621650;target;yes;agonist;CHEMBL373742
drug.Drug_Protein;DB00067;Q92887;[];10692506;transporter;unknown;substrate;CHEMBL373742
drug.Drug_Protein;DB00068;P17181;['L03AB08'];10049744|11752352;target;yes;agonist;CHEMBL1201563
drug.Drug_Protein;DB00068;P48551;['L03AB08'];10049744|11752352;target;yes;agonist;CHEMBL1201563
drug.Drug_Protein;DB00068;P05177;['L03AB08'];9064483;enzyme;unknown;inhibitor;CHEMBL1201563
drug.Drug_Protein;DB00069;P17181;['L03AB09'];17139284|17016423|12528473|11752352;target;yes;binder;CHEMBL1201557
drug.Drug_Protein;DB00069;P48551;['L03AB09'];8836913|12528473|11752352;target;yes;binder;CHEMBL1201557
drug.Drug_Protein;DB00069;P05177;['L03AB09'];9064483;enzyme;unknown;inhibitor;CHEMBL1201557
drug.Drug_Protein;DB00070;P01137;[];11327694|7648625|9435505|9850732;target;unknown;inhibitor;CHEMBL1201636
drug.Drug_Protein;DB00070;P02768;[];10036158|10466114;carrier;unknown;inhibitor;CHEMBL1201636
drug.Drug_Protein;DB00071;P06213;['A10AC03', 'A10AB03', 'A10AE03', 'A10AD03'];12038982|12970169|11752352;target;yes;binder;None
drug.Drug_Protein;DB00071;P08069;['A10AC03', 'A10AB03', 'A10AE03', 'A10AD03'];17139284|17016423|9846170|9582514|7476290;target;unknown;;None
drug.Drug_Protein;DB00071;P05177;['A10AC03', 'A10AB03', 'A10AE03', 'A10AD03'];1562279|12130701;enzyme;unknown;inducer;None
drug.Drug_Protein;DB00071;P14735;['A10AC03', 'A10AB03', 'A10AE03', 'A10AD03'];3536368|8504733|9643444|13560210;enzyme;unknown;substrate;None
drug.Drug_Protein;DB00072;P04626;['L01XC03'];11752352|18690878|17660958|11098307;target;yes;binder|antibody;CHEMBL1201585
drug.Drug_Protein;DB00073;P11836;['L01XC02'];11752352|20350667|20350663|9704735|26883591|26920337;target;yes;antibody;CHEMBL1201576
drug.Drug_Protein;DB00074;P01589;['L04AC02'];12591363|9695721|16908318|10512062|10567956|11752352;target;yes;antibody;CHEMBL1201439
drug.Drug_Protein;DB00074;P14784;['L04AC02'];10188761|10708100|11840795|12667677|12826150|11752352;target;unknown;antibody;CHEMBL1201439
